time room,temperature room,RH room,DP room
2021-12-17 16:10:00,2.26022,75.7757,-1.57544
2021-12-17 16:20:00,2.26022,75.7757,-1.57544
2021-12-17 16:30:00,2.2495,75.8062,-1.58035
2021-12-17 16:40:00,2.2495,75.8291,-1.57624
2021-12-17 16:50:00,2.2495,75.8291,-1.57624
2021-12-17 17:00:00,2.2495,75.8825,-1.56666
2021-12-17 17:10:00,2.2495,75.8825,-1.56666
2021-12-17 17:20:00,2.26022,76.1953,-1.50025
2021-12-17 17:30:00,2.26022,76.0122,-1.53301
2021-12-17 17:40:00,2.26022,75.8825,-1.55626
2021-12-17 17:50:00,2.2495,75.8291,-1.57624
2021-12-17 18:00:00,2.2495,75.9054,-1.56255
2021-12-17 18:10:00,2.2495,75.9588,-1.55298
2021-12-17 18:20:00,2.23877,76.0122,-1.5538
2021-12-17 18:30:00,2.23877,75.9588,-1.56337
2021-12-17 18:40:00,2.23877,75.9359,-1.56747
2021-12-17 18:50:00,2.23877,75.9054,-1.57295
2021-12-17 19:00:00,2.23877,75.9054,-1.57295
2021-12-17 19:10:00,2.23877,75.9359,-1.56747
2021-12-17 19:20:00,2.23877,76.0351,-1.5497
2021-12-17 19:30:00,2.23877,76.0122,-1.5538
